시설물명,시설물구분,시설물종류,준공일,종별,위치,차기점검진단일,등급,최종점검진단일
영통역사,건축물,철도역시설,20131231,2종,경기도 수원시 영통구 영통동,20171231,양호,20170510
망포역사,건축물,철도역시설,20131231,2종,경기도 수원시 영통구 영통동,20171231,양호,20170510
도시형 자기부상열차 국제업무단지역,건축물,철도역시설,20160203,2종,인천광역시 중구 운서동,20200203,양호,20170619
대구도시철도 3-017(매천시장) 역사,건축물,철도역시설,20141231,2종,대구광역시 북구 매천동,20181231,양호,20170521
대구도시철도 3-011(팔거) 역사,건축물,철도역시설,20141231,2종,대구광역시 북구 동천동,20181231,양호,20170521
대구도시철도 3-012(동천) 역사,건축물,철도역시설,20141231,2종,대구광역시 북구 동천동,20181231,양호,20170521
대구도시철도 3-023(북구청) 역사,건축물,철도역시설,20141231,2종,대구광역시 서구 원대동2가,20181231,양호,20170521
대구도시철도 3-033(어린이회관) 역사,건축물,철도역시설,20141231,2종,대구광역시 수성구 황금동,20181231,양호,20170521
해운대역사,건축물,철도역시설,20140128,2종,부산광역시 해운대구 장산로,20180128,양호,20170317
송정역사,건축물,철도역시설,20140128,2종,부산광역시 해운대구 해운대로,20180128,양호,20170317
서울지하철 9호선 915공구(선정릉역),건축물,철도역시설,20151218,2종,서울특별시 강남구 선릉로,20191218,양호,20170527
